Sequencing_Well,State,Subanalysis,Legume.subfamily,Rosaceae.subfamily,Family,Tribe,Taxon in Tree,scientificName_Voucher,scientificNameAuthorship,Provider.acronym,Provider.identifier,UUID
FMN_P004_WC11,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia aptera,Begonia aptera,Blume,CAS,,45e3b5f1-9f85-4b15-b96c-ca03aca2148d
FMN_P037_WG09,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia areolata,Begonia areolata,Miq.,NY,3476638,a4ab2ca9-bd5e-494b-a125-d0444827349d
FMN_P004_WD03,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia balmisiana,Begonia balmisiana,Balmis,CAS,,45dce7b4-00cc-4c22-bf7d-ef04afda5619
FMN_P050_WD08,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia banaoensis,Begonia banaoensis,J.Sierra,NY,2584032,2d29c45b-01d9-4c26-9017-db433383690a
FMN_P053_WA04,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia bangii,Begonia bangii,Kuntze,NY,3379974,2db76348-82fc-408e-af08-edb606ce4f7b
FMN_P039_WC03,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia baramensis,Begonia baramensis,Merr.,NY,1873712,a49d8cbd-2fb5-49fa-afb7-8fe50f5fb54d
FMN_P007_WB12,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia barkeri,Begonia barkeri,Knowles & Westc.,CAS,,4207621e-70bf-4a8b-b85a-5cde568e4f4e
FMN_P041_WA10,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia beccariana,Begonia beccariana,Ridl.,NY,3476648,a5398b7a-a3b2-4ebf-a95e-0b88b1682392
FMN_P052_WH01,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia bernicei,Begonia bernicei,Aymard & G.A.Romero,NY,2497217,2dacad5a-be0f-43c6-86c7-11bc9321fd8b
FMN_P007_WA04,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia beryllae,Begonia beryllae,Ridl.,CAS,,435e6dd9-fb94-4430-81ba-2e57f6df6016
FMN_P006_WH07,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia bettinae,Begonia bettinae,Ziesenh.,CAS,,4203161b-29d7-475a-b0c3-9434ccfb9f03
FMN_P052_WG11,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia bidentata,Begonia bidentata,Raddi,NY,2610101,2d9de188-9b14-4b27-a4dc-beaf65266ae1
FMN_P004_WD02,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia biserrata,Begonia biserrata,Lindl.,CAS,549321,45dc2f44-5265-47fb-8198-085764e366db
FMN_P007_WC02,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia boissieri,Begonia boissieri,A.DC.,CAS,,4200aa0d-671e-4e79-920a-af63ae052df2
FMN_P050_WC11,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia boliviensis,Begonia boliviensis,A.DC.,NY,3379260,2e856e60-f78c-461a-b898-5824eaceac30
