"include","l1","l2","er"
"all",0.0237105080012689,0.00518688794540931,1.03218397048081
"all",0.107637697466276,0.0311806879546338,0.972116551718789
"all",0.450052106468509,0.18408935092187,1.00800668196356
"<50",0.130584679554376,0.0285665790121191,1.02374204345095
"<50",0.311926851874101,0.0903595493205796,0.978450779818078
"<50",0.647018344285826,0.264656437159583,1.01085885265464
"<10",0.575479812650506,0.134411058223583,1.00597323635411
"<10",0.71276225844849,0.223231589528779,0.993941905943077
"<10",0.807357381964862,0.349094445547999,0.997044934777299
