"include","type","ntips","bias","varriance","rmse"
"all","er",100,-1.77066334717825,15.3246201422133,4.22332603390218
"all","er",250,-1.10493333224913,9.42218250154111,3.16061003240509
"all","er",500,-0.565991556880226,4.85507078873648,2.14797025916758
"all","l0",100,-1.77429534685744,15.2948222269292,4.22238994340619
"all","l0",250,-1.07921112737423,9.18670641772229,3.1147940530486
"all","l0",500,-0.570260540159977,4.9501369224278,2.16916537417862
"all","l1",100,-2.50719965752064,17.463993446428,4.81538631181878
"all","l1",250,-1.31033218936537,9.92696031748187,3.31988166166986
"all","l1",500,-0.650720461626721,5.18622094190777,2.24567187942408
"all","l2",100,-2.80887856169354,16.4325219068276,4.89303080007953
"all","l2",250,-1.60991420219381,10.0358303484944,3.4784054500861
"all","l2",500,-0.861995823181893,5.57011646104206,2.41179678333086
"<50","er",100,-1.77066334717825,15.3246201422133,4.22332603390218
"<50","er",250,-1.10493333224913,9.42218250154111,3.16061003240509
"<50","er",500,-0.565991556880226,4.85507078873648,2.14797025916758
"<50","l0",100,-1.77429534685744,15.2948222269292,4.22238994340619
"<50","l0",250,-1.07921112737423,9.18670641772229,3.1147940530486
"<50","l0",500,-0.570260540159977,4.9501369224278,2.16916537417862
"<50","l1",100,-2.50719965752064,17.463993446428,4.81538631181878
"<50","l1",250,-1.31033218936537,9.92696031748187,3.31988166166986
"<50","l1",500,-0.650720461626721,5.18622094190777,2.24567187942408
"<50","l2",100,-2.80887856169354,16.4325219068276,4.89303080007953
"<50","l2",250,-1.60991420219381,10.0358303484944,3.4784054500861
"<50","l2",500,-0.861995823181893,5.57011646104206,2.41179678333086
"<10","er",100,-1.77066334717825,15.3246201422133,4.22332603390218
"<10","er",250,-1.10493333224913,9.42218250154111,3.16061003240509
"<10","er",500,-0.565991556880226,4.85507078873648,2.14797025916758
"<10","l0",100,-1.77429534685744,15.2948222269292,4.22238994340619
"<10","l0",250,-1.07921112737423,9.18670641772229,3.1147940530486
"<10","l0",500,-0.570260540159977,4.9501369224278,2.16916537417862
"<10","l1",100,-2.50719965752064,17.463993446428,4.81538631181878
"<10","l1",250,-1.31033218936537,9.92696031748187,3.31988166166986
"<10","l1",500,-0.650720461626721,5.18622094190777,2.24567187942408
"<10","l2",100,-2.80887856169354,16.4325219068276,4.89303080007953
"<10","l2",250,-1.60991420219381,10.0358303484944,3.4784054500861
"<10","l2",500,-0.861995823181893,5.57011646104206,2.41179678333086
