"ntips","type","par","bias","var","mse","rmse"
100,"reg-logl1","(2)_(4)",-0.444037792394878,0.622119116642324,0.818666558600598,0.904801944405845
100,"reg-logl1","(3)_(1)",-0.45820099256219,0.450819428153728,0.66031675831055,0.812598768341763
100,"reg-logl1","(3)_(4)",-0.301371686386776,0.343692257785774,0.434173458883598,0.658918400777818
100,"reg-logl1","(4)_(2)",-0.505932247509808,0.660599671031841,0.915906510431135,0.95703004677551
100,"reg-logl1","(4)_(3)",-0.341949939923534,0.445433393509145,0.561917721529345,0.749611713842136
100,"unreg","(1)_(2)",1.79782571253781,97.1000677964016,100.235145021267,10.01175034753
100,"unreg","(1)_(3)",1.85270283984611,112.473958580388,115.793992434582,10.7607617032709
100,"unreg","(2)_(1)",1.91304005020659,103.838246046506,107.394130034154,10.3631139159113
100,"unreg","(2)_(4)",1.94303752888423,107.622610805753,111.2903830336,10.5494257205594
100,"unreg","(3)_(1)",1.55200491996971,78.7097742741759,81.0397837715119,9.00220993820472
100,"unreg","(3)_(4)",1.29102177684598,62.8471520662434,64.4510421424678,8.02814064042651
100,"unreg","(4)_(2)",2.12822591241021,124.866491966094,129.270971008382,11.3697392673879
100,"unreg","(4)_(3)",1.84282496004073,113.4726318293,116.75516303082,10.8053303064192
250,"reg-l1","(1)_(2)",-0.472705377939931,0.295930896789401,0.519085340225945,0.720475773517712
250,"reg-l1","(1)_(3)",-0.527945798617778,0.337042208843911,0.61543193291323,0.784494699098235
250,"reg-l1","(2)_(1)",-0.51260336067021,0.558346237740493,0.820550096873146,0.90584220307576
250,"reg-l1","(2)_(4)",-0.495238507950252,0.372406928209535,0.617295701038117,0.785681679204827
250,"reg-l1","(3)_(1)",-0.512123260335821,0.289844826638417,0.55182521558877,0.742849389572859
250,"reg-l1","(3)_(4)",-0.314352189801816,0.184104997040432,0.282738191276589,0.531731314929437
250,"reg-l1","(4)_(2)",-0.536961430945221,0.457359464464646,0.745229683322921,0.863266866804768
250,"reg-l1","(4)_(3)",-0.390715896243482,0.221027468454748,0.37346535256364,0.611118116703834
250,"reg-l2","(1)_(2)",-0.670567120403886,0.322772898583486,0.772110388651662,0.878698121456773
250,"reg-l2","(1)_(3)",-0.742073889277101,0.386281150380442,0.936568526376905,0.967764706102111
250,"reg-l2","(2)_(1)",-0.706813042980107,0.66316203924338,1.16208355493094,1.0779997935672
250,"reg-l2","(2)_(4)",-0.69551836037072,0.423770760287891,0.907092779140377,0.952414184659372
250,"reg-l2","(3)_(1)",-0.722876248678835,0.350824074900746,0.873023321729831,0.934357170320767
250,"reg-l2","(3)_(4)",-0.491576452417722,0.221476311891629,0.46290224415133,0.680369196944813
250,"reg-l2","(4)_(2)",-0.728964036282975,0.540026877462925,1.07087541677943,1.03483110543674
250,"reg-l2","(4)_(3)",-0.595294780153033,0.262907413226352,0.617020381090573,0.785506448789934
250,"reg-logexp","(1)_(2)",-0.472380061657345,0.296283688328742,0.51913032729181,0.720506993228942
250,"reg-logexp","(1)_(3)",-0.528197645936866,0.337510574957211,0.6161658175555,0.784962303270355
250,"reg-logexp","(2)_(1)",-0.512258509173008,0.557732197321983,0.819583245344815,0.905308370305287
250,"reg-logexp","(2)_(4)",-0.495342562510223,0.371794496126489,0.616786955864557,0.785357852106005
250,"reg-logexp","(3)_(1)",-0.512288856673645,0.289893366684694,0.55204334599,0.742996195138306
250,"reg-logexp","(3)_(4)",-0.314879414018096,0.183830296585956,0.28279551166175,0.531785211962264
250,"reg-logexp","(4)_(2)",-0.53660698380167,0.456474428949606,0.743965009585382,0.862534062855133
250,"reg-logexp","(4)_(3)",-0.391328298180041,0.222245070872073,0.375160662757688,0.612503602240581
250,"reg-logl1","(1)_(2)",-0.283331644360939,0.479776834440345,0.559573878302179,0.748046708636686
250,"reg-logl1","(1)_(3)",-0.313184375166914,0.476186942295494,0.573795208201889,0.757492711649352
250,"reg-logl1","(2)_(1)",-0.307068835025334,0.630409657173435,0.724070516960078,0.850923332010633
250,"reg-logl1","(2)_(4)",-0.321407483514303,0.538757938787978,0.641521951308187,0.80095065472736
250,"reg-logl1","(3)_(1)",-0.310521445801046,0.386631959061784,0.482668895405094,0.694743762408195
250,"reg-logl1","(3)_(4)",-0.162349198659049,0.308144436625814,0.334193554494424,0.57809476255578
250,"reg-logl1","(4)_(2)",-0.354162048944162,0.546578231740033,0.67146241042062,0.819428099603998
250,"reg-logl1","(4)_(3)",-0.218357968398888,0.382218845275408,0.429516828793422,0.65537533428824
250,"unreg","(1)_(2)",0.439176816154573,13.4628343979954,13.6422478394451,3.69354136831376
250,"unreg","(1)_(3)",0.412596940896943,6.07358194291408,6.23774459660868,2.49754771658294
250,"unreg","(2)_(1)",0.568474602955686,29.3012282692173,29.5950904151537,5.4401369849622
250,"unreg","(2)_(4)",0.644400769785318,31.2041310489845,31.5881792700354,5.6203362239314
250,"unreg","(3)_(1)",0.484015558717693,23.6633159041436,23.8739236493202,4.88609492839837
250,"unreg","(3)_(4)",0.324743874931871,9.8942977207578,9.98986200734281,3.16067429630812
250,"unreg","(4)_(2)",0.830053404166632,60.5036208430281,61.1321058759537,7.81870231406425
250,"unreg","(4)_(3)",0.460142576126261,19.5192954968332,19.7115073917004,4.43976433965818
500,"reg-l1","(1)_(2)",-0.351223718191205,0.237582834139533,0.360703351525449,0.600585840263862
500,"reg-l1","(1)_(3)",-0.416974887615851,0.283090015654714,0.456674982541311,0.675777317273457
500,"reg-l1","(2)_(1)",-0.393358663582796,0.469125807742508,0.623387720150409,0.789549061268778
500,"reg-l1","(2)_(4)",-0.391395787703435,0.311171212481363,0.464050703900874,0.68121267156511
500,"reg-l1","(3)_(1)",-0.396286617704013,0.223122983810676,0.379942944198152,0.616395120193332
500,"reg-l1","(3)_(4)",-0.237802719927569,0.160156528886293,0.216546505962357,0.465345576923599
500,"reg-l1","(4)_(2)",-0.428488330546293,0.38865958844099,0.571873178266898,0.756222968618977
500,"reg-l1","(4)_(3)",-0.297206073697248,0.171500925782937,0.259660875099688,0.509569303529646
500,"reg-l2","(1)_(2)",-0.567870918702803,0.281189161516127,0.603385352662977,0.776778831240255
500,"reg-l2","(1)_(3)",-0.640150510685509,0.351877444176328,0.761318243063069,0.872535525387402
500,"reg-l2","(2)_(1)",-0.603551742269931,0.604731371695179,0.968401345920553,0.984073851863036
500,"reg-l2","(2)_(4)",-0.604418630638493,0.387921598589753,0.752855558054075,0.867672494697207
500,"reg-l2","(3)_(1)",-0.62245948617952,0.311421796083862,0.69856618622265,0.835802719678902
500,"reg-l2","(3)_(4)",-0.412168048027665,0.198094366324468,0.367778771773079,0.606447666145299
500,"reg-l2","(4)_(2)",-0.632874510416815,0.488870887046994,0.88891216209527,0.942821383982815
500,"reg-l2","(4)_(3)",-0.504260456164784,0.230142943910141,0.484191408617747,0.695838636910704
500,"reg-logexp","(1)_(2)",-0.35116797752355,0.237853619390021,0.360934714208611,0.600778423554484
500,"reg-logexp","(1)_(3)",-0.417060599747041,0.283107199385198,0.456763636047175,0.675842907817471
500,"reg-logexp","(2)_(1)",-0.393717521735079,0.470419428007349,0.624962495500554,0.790545694758092
500,"reg-logexp","(2)_(4)",-0.391330950523326,0.311433424741903,0.464261904154651,0.681367671785689
500,"reg-logexp","(3)_(1)",-0.395768746270754,0.22336230607087,0.379771844289524,0.616256313792827
500,"reg-logexp","(3)_(4)",-0.238316777891267,0.160721656809825,0.21735582177749,0.466214351749804
500,"reg-logexp","(4)_(2)",-0.429059403155282,0.388480576545947,0.572184067405368,0.756428494575243
500,"reg-logexp","(4)_(3)",-0.296697860002985,0.171012289259883,0.258870897100973,0.508793570223694
500,"reg-logl1","(1)_(2)",-0.159793421170452,0.437213478360118,0.462310202331115,0.679933969096349
500,"reg-logl1","(1)_(3)",-0.215510409864461,0.432053373919761,0.478066057305789,0.691423211431168
500,"reg-logl1","(2)_(1)",-0.198793862596462,0.452577363626945,0.491643786069339,0.701173149849122
500,"reg-logl1","(2)_(4)",-0.196300362405802,0.363871000302406,0.402040961582753,0.63406700086249
500,"reg-logl1","(3)_(1)",-0.190924772397386,0.27917681716518,0.315349909063008,0.56156024526582
500,"reg-logl1","(3)_(4)",-0.108976362650371,0.284112590289516,0.295704325315732,0.543787022018485
500,"reg-logl1","(4)_(2)",-0.252130201731939,0.493590187005825,0.556666235444208,0.746100687202611
500,"reg-logl1","(4)_(3)",-0.121084658028113,0.340117560386293,0.354438937235691,0.595347744797687
500,"unreg","(1)_(2)",0.14478337920245,1.41182181629481,1.43137222137179,1.19639969131214
500,"unreg","(1)_(3)",0.105253180947213,0.847190082021993,0.857421124039478,0.925970368877686
500,"unreg","(2)_(1)",0.208737578229551,4.77552203177575,4.81431788630911,2.1941553924709
500,"unreg","(2)_(4)",0.112864294951334,2.06298052766552,2.07365589621272,1.4400194082764
500,"unreg","(3)_(1)",0.0776467307043177,0.562709239690888,0.568175545240266,0.753774200434232
500,"unreg","(3)_(4)",0.0951624015499481,0.624037905091485,0.632469749855148,0.795279667698821
500,"unreg","(4)_(2)",0.168304287540466,10.2476994146386,10.2657780484285,3.20402528835658
500,"unreg","(4)_(3)",0.127745545445921,1.34585189802389,1.36082497050715,1.16654402853349
