"ntips","type","par","bias","var","mse","rmse"
100,"reg-l1","(1)_(2)",-0.595767400210306,0.321024027974141,0.675641799099513,0.82197432995168
100,"reg-l1","(1)_(3)",-0.687405713181118,0.42167881335383,0.893783749054518,0.94540136928953
100,"reg-l1","(2)_(1)",-0.653055155447704,0.643172444523678,1.06901030813598,1.03392954698856
100,"reg-l1","(2)_(4)",-0.631958261957284,0.471789346207579,0.870688801717442,0.933107068731902
100,"reg-l1","(3)_(1)",-0.651339906801935,0.367383764301755,0.791260054730207,0.889527995472996
100,"reg-l1","(3)_(4)",-0.445373550204079,0.232131259355913,0.430256727317943,0.655939575965609
100,"reg-l1","(4)_(2)",-0.6691991119206,0.557023868719581,1.00429429624618,1.00214484793675
100,"reg-l1","(4)_(3)",-0.535068559891892,0.283467142762465,0.569482039404486,0.75464033777985
100,"reg-l2","(1)_(2)",-0.791728440117114,0.354530648911426,0.981010041152793,0.990459510102656
100,"reg-l2","(1)_(3)",-0.881845627899123,0.448736549345131,1.22593952424058,1.10722153349751
100,"reg-l2","(2)_(1)",-0.836751761468358,0.735969481541499,1.43538702238036,1.19807638420109
100,"reg-l2","(2)_(4)",-0.824344632357489,0.499929234061777,1.17897337772432,1.08580540509076
100,"reg-l2","(3)_(1)",-0.849657831038234,0.409220482278802,1.13072969164112,1.06335774396067
100,"reg-l2","(3)_(4)",-0.615210902473104,0.266407777673873,0.64462582441797,0.802885934873672
100,"reg-l2","(4)_(2)",-0.852530420058947,0.616506924937087,1.34269853513803,1.15874869369421
100,"reg-l2","(4)_(3)",-0.730377285093495,0.315633315360778,0.848768660625962,0.921286416173581
100,"reg-logexp","(1)_(2)",-0.596777086051854,0.321180223389806,0.677001933602958,0.822801272241942
100,"reg-logexp","(1)_(3)",-0.684761934082241,0.421296871841994,0.889774481338203,0.943278580981357
100,"reg-logexp","(2)_(1)",-0.652877516514458,0.643158666422752,1.06876455932641,1.03381069801314
100,"reg-logexp","(2)_(4)",-0.632761808250768,0.472427378282451,0.872342456884951,0.933992749910272
100,"reg-logexp","(3)_(1)",-0.651506607654142,0.366477760904386,0.79057214296049,0.889141239039383
100,"reg-logexp","(3)_(4)",-0.444993272725398,0.23149143322494,0.429278954562575,0.655193829765341
100,"reg-logexp","(4)_(2)",-0.669865077937499,0.556482735894259,1.00464547579858,1.0023200465912
100,"reg-logexp","(4)_(3)",-0.536747519510126,0.285345633244197,0.573158187311225,0.757072115000431
100,"reg-logl1","(1)_(2)",-0.402823784867329,0.464462650969192,0.626265189973063,0.791369186898923
100,"reg-logl1","(1)_(3)",-0.518131342403597,0.560222685195603,0.828122550491361,0.910012390295517
100,"reg-logl1","(2)_(1)",-0.484909241602018,0.699064024096397,0.933501932663344,0.96617903758224
