"include","type","ntips","bias","varriance","rmse"
"all","er",100,0.0943089243267037,0.82740414267005,0.667005869834009
"all","er",250,0.0229746279209296,0.565123343806235,0.415149533826987
"all","er",500,0.00277686706812965,0.466158669671881,0.289794763846329
"all","l0",100,0.0881184687328922,0.853849312863967,0.681088197588995
"all","l0",250,0.0238503469392192,0.566930555863022,0.416584727368473
"all","l0",500,0.00205531746866766,0.466858713343116,0.290472858405022
"all","l1",100,-0.184397847719395,0.647479932606963,0.635521208803751
"all","l1",250,-0.0863476731158398,0.507601856196391,0.413534972264617
"all","l1",500,-0.0445237367960576,0.430545669364509,0.278307410793934
"all","l2",100,-0.380818398674423,0.421045989035371,0.699921032350184
"all","l2",250,-0.208785916538086,0.340322556326849,0.434990371358392
"all","l2",500,-0.1237000092064,0.344709928312419,0.323525504472192
"<50","er",100,0.0943089243267037,0.82740414267005,0.667005869834009
"<50","er",250,0.0229746279209296,0.565123343806235,0.415149533826987
"<50","er",500,0.00277686706812965,0.466158669671881,0.289794763846329
"<50","l0",100,0.0881184687328922,0.853849312863967,0.681088197588995
"<50","l0",250,0.0238503469392192,0.566930555863022,0.416584727368473
"<50","l0",500,0.00205531746866766,0.466858713343116,0.290472858405022
"<50","l1",100,-0.184397847719395,0.647479932606963,0.635521208803751
"<50","l1",250,-0.0863476731158398,0.507601856196391,0.413534972264617
"<50","l1",500,-0.0445237367960576,0.430545669364509,0.278307410793934
"<50","l2",100,-0.380818398674423,0.421045989035371,0.699921032350184
"<50","l2",250,-0.208785916538086,0.340322556326849,0.434990371358392
"<50","l2",500,-0.1237000092064,0.344709928312419,0.323525504472192
"<10","er",100,0.0943089243267037,0.82740414267005,0.667005869834009
"<10","er",250,0.0229746279209296,0.565123343806235,0.415149533826987
"<10","er",500,0.00277686706812965,0.466158669671881,0.289794763846329
"<10","l0",100,0.0881184687328922,0.853849312863967,0.681088197588995
"<10","l0",250,0.0238503469392192,0.566930555863022,0.416584727368473
"<10","l0",500,0.00205531746866766,0.466858713343116,0.290472858405022
"<10","l1",100,-0.184397847719395,0.647479932606963,0.635521208803751
"<10","l1",250,-0.0863476731158398,0.507601856196391,0.413534972264617
"<10","l1",500,-0.0445237367960576,0.430545669364509,0.278307410793934
"<10","l2",100,-0.380818398674423,0.421045989035371,0.699921032350184
"<10","l2",250,-0.208785916538086,0.340322556326849,0.434990371358392
"<10","l2",500,-0.1237000092064,0.344709928312419,0.323525504472192
